本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
拍打脸	tæp6 pa1 tsoŋ3	daep6 ba1 zong3	pai1 da3 lian3	官			125638		
拔毛发	tɕʰiɛn2 mɑu2	qien2 mau2	ba2 mao2 fa4	官			127295		
按着	tsʰin4 tɑu4	cin4 dau4	an4 zhe5	官			125951		
按紧	læt5 tɕin3	laet5 jin3	an4 jin3	官			125419		
挠头	tsiɛ1 tʰɛu2	zie1 teu2	nao2 tou2	官			125624		
挠痒	tsiɛ1 ioŋ3	zie1 yong3	nao2 yang3	官			124897		
挤压在一起	tsat5 tsʰɛi4 it5 tɕʰi3	zat5 cei4 yit5 qi3	ji3 ya1 zai4 yi4 qi3	官			125426		
挨打	tʰo2 ta3	to2 da3	ai2 da3	官			124831		
挨骂	tʰo2 ma4	to2 ma4	ai2 ma4	官			125696		
换双鞋	tʰiau3 soŋ1 hai2	tiau3 song1 hai2	huan4 shuang1 xie2	官			124564		
排鼻涕	sɑŋ4 pʰɨʔ6 ȵiŋ2	sang4 pek6 ning2	pai2 bi2 ti4	官			125157		
推拢	tsʰuŋ3 luŋ3	cung3 lung3	tui1 long3	官			123957		
推门	tsʰuŋ3 mən2	cung3 men2	tui1 men2	官			125078		
揉搓衣服	lo2 i1 soŋ2	lo2 yi1 song2	rou2 cuo1 yi1 fu2	官			122104		
搓干净手	lo2 tɕʰiɑŋ1 səu3	lo2 qiang1 seu3	cuo1 gan1 jing4 shou3	官			123826		
搓肤垢	tsʰo1 lu1	co1 lu1	cuo1 fu1 gou4	官			126673		
摘朵花	tɕʰiɛn2 to3 fa1	qien2 do3 fa1	zhai1 duo3 hua1	官			122253		
放牛	iɑŋ4 ȵiɛu2	yang4 nieu2	fang4 niu2	官			126762		
敲门	kʰoʔ6 mən2	kok6 men2	qiao1 men2	官			126633		
斜的	tɕʰia4 ko4	qia4 go4	xie2 de5	官			122495		
来迟了	lɛi2 ŋan4 li4	lei2 ngan4 li4	lai2 chi2 le5	官			125572		
母亲	mu3 ma4	mu3 ma4	mu3 qin1	官			126904		
流口水	liəu2 sy3 tsʰan1	lieu2 syu3 can1	liu2 kou3 shui3	官			127874		
流唾液	liəu2 sy3 tsʰan1	lieu2 syu3 can1	liu2 tuo4 ye4	官			124111		
炖排骨	uɛn2 pʰai2 kuɨt5	win2 pai2 guet5	dun4 pai2 gu3	官			126947		
炖汤	uɛn2 tʰoŋ1	win2 tong1	dun4 tang1	官			125271		
炖鸡	uɛn2 tɕi1	win2 ji1	dun4 ji1	官			123409		
烘干衣服	hon4 kon1 i1 soŋ2	hon4 gon1 yi1 song2	hong1 gan1 yi1 fu2	官			124093		
热到了	ȵiɛt6 tɑu4 li4	niet6 dau4 li4	re4 dao4 le5	官			127779		
焯菜	sæp6 tsʰɛi4	saep6 cei4	chao1 cai4	官			127691		
煮汤	tsʰuon1 tʰoŋ1	cuon1 tong1	zhu3 tang1	官			127320		
煮粥	hon4 tsuʔ5	hon4 zuk5	zhu3 zhou1	官			125809		
