本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
擿头	tsiɛ1 tʰɛu2	zie1 teu2	ti1 tou2	赣	挠头	nao2 tou2	122604		
擿痒	tsiɛ1 ioŋ3	zie1 yong3	ti1 yang3	赣	挠痒	nao2 yang3	123748		
斢双鞋	tʰiau3 soŋ1 hai2	tiau3 song1 hai2	tiao3 shuang1 xie2	赣	换双鞋	huan4 shuang1 xie2	127700		
斫人	tsoʔ5 ȵin2	zok5 nin2	zhuo2 ren2	赣	袭击人/打人	xi2 ji1 ren2/da3 ren2	123426		
斫肉	tsoʔ5 ȵiuʔ5	zok5 niuk5	zhuo2 rou4	赣	劈肉	pi1 rou4	124607		
暍到哩	ȵiɛt6 tɑu4 li4	niet6 dau4 li4	ye1 dao4 li1	赣	热到了	re4 dao4 le5	123742		
曳到渠	iɛ3 tɑu4 tɕiɛ1	yie3 dau4 jie1	ye4 dao4 qu2	赣	拉着他	la1 zhe5 ta1	125975		
曳紧	iɛ3 tɕin3	yie3 jin3	ye4 jin3	赣	拉紧	la1 jin3	124445		
来晏哩	lɛi2 ŋan4 li4	lei2 ngan4 li4	lai2 yan4 li1	赣	来迟了	lai2 chi2 le5	125493		
母妗	mu3 tɕʰin4	mu3 qin4	mu3 jin4	赣	舅妈	jiu4 ma1	127047		
母嬷	mu3 ma4	mu3 ma4	mu3 ma1	赣	母亲	mu3 qin1	127361		
流水涎	liəu2 sy3 tsʰan1	lieu2 syu3 can1	liu2 shui3 xian2	赣	流唾液/流口水	liu2 tuo4 ye4/liu2 kou3 shui3	124794		
渠个	tɕiɛ1 kɛi1	jie1 gei1	qu2 ge4	赣	他的	ta1 de5	124961		
渠个	tɕiɛ1 ko4	jie1 go4	qu2 ge4	赣	他的	ta1 de5	124961		
渠等	tɕiɛ1 tɛn3	jie1 den3	qu2 deng3	赣	他们	ta1 men5	123878		
滗水	pi4 sy3	bi4 syu3	bi4 shui3	赣			122006		
滗汤	pi4 tʰoŋ1	bi4 tong1	bi4 tang1	赣			125836		
滗米	pi4 mi3	bi4 mi3	bi4 mi3	赣			123145		
炆排骨	uɛn2 pʰai2 kuɨt5	win2 pai2 guet5	wen2 pai2 gu3	赣	炖排骨	dun4 pai2 gu3	125475		
炆汤	uɛn2 tʰoŋ1	win2 tong1	wen2 tang1	赣	炖汤	dun4 tang1	126974		
炆鸡	uɛn2 tɕi1	win2 ji1	wen2 ji1	赣	炖鸡	dun4 ji1	126041		
煠花生	sæp6 fa1 son1	saep6 fa1 son1	zha2 hua1 sheng1	赣	煮花生	zhu3 hua1 sheng1	125140		
煠菜	sæp6 tsʰɛi4	saep6 cei4	zha2 cai4	赣	焯菜	chao1 cai4	126748		
熯干衣裳	hon4 kon1 i1 soŋ2	hon4 gon1 yi1 song2	han4 gan4 yi1 shang5	赣	烘干衣服	hong1 gan1 yi1 fu2	125897		
熯粥	hon4 tsuʔ5	hon4 zuk5	han4 zhou1	赣	煮粥	zhu3 zhou1	124773		
熯饭	hon4 fan1	hon4 fan1	han4 fan4	赣	煮饭	zhu3 fan4	127870		
爨汤	tsʰuon1 tʰoŋ1	cuon1 tong1	cuan4 tang1	赣	煮汤	zhu3 tang1	124653		
爨肉饼	tsʰuon1 ȵiuʔ5 piaŋ3	cuon1 niuk5 biang3	cuan4 rou4 bing3	赣	煮肉饼	zhu3 rou4 bing3	122672		
爷爷	ia2 ia2	ya2 ya2	ye2 ye2	赣	爹爹	die1 die1	122696		
猪衁子	tsy1 uoŋ4 tsi3	zyu1 wong4 zi3	zhu1 huang1 zi5	赣	猪血块	zhu1 xue4 kuai4	122024		
番瓜	fɑŋ1 kua1	fang1 gua1	fan1 gua1	赣	南瓜	nan2 gua1	124511		
皲口	tɕin1 kʰiɛu3	jin1 kieu3	jun1 kou3	赣	裂口	lie4 kou3	126640		
眏牛	iaŋ4 ȵiɛu2	yang4 nieu2	yang1 niu2	赣	看守牛/放牛	kan1 shou3 niu2/fang4 niu2	125903		
眏细人子	iaŋ4 ɕi4 ȵin2 tsi3	yang4 xi4 nin2 zi3	yang1 xi4 ren2 zi5	赣	看守小孩	kan1 shou3 xiao3 hai2	122523		
眏贼	iaŋ4 tsʰɛʔ6	yang4 cek6	yang1 zei2	赣	看贼/守贼	kan4 zei2/shou3 zei2	124135		
眰到	tsi1 tɑu4	zi1 dau4	die4 dao4	赣	看着	kan4 zhe5	122274		
眰眰盳盳	tsi1 tsi1 moŋ4 moŋ4	zi1 zi1 mong4 mong4	die4 die4 wang4 wang4	赣	东张西望	dong1 zhang1 xi1 wang4	127611		
睏到	kʰuin4 tɑu4	kuin4 dau4	kun4 dao4	赣	躺到	tang3 dao4	122612		
睏觉	kʰuin4 kɑu4	kuin4 gau4	kun4 jue2	赣			127884		
笡个	tɕʰia4 ko4	qia4 go4	qie4 ge4	赣	斜的	xie2 de5	122794		
笮到	tsaʔ5 tɑu4	zak5 dau4	ze2 dao4	赣	压着	ya1 zhe5	125288		
笮岁钱	tsaʔ5 ɕi4 tɕʰiɛn2	zak5 xi4 qien2	ze2 sui4 qian2	赣	压岁钱	ya1 sui4 qian2	125603		
筑满	tsuʔ5 mɛn3	zuk5 men3	zhu4 man3	赣	填满	tian2 man3	122551		
筑紧	tsuʔ5 tɕin3	zuk5 jin3	zhu4 jin3	赣	塞紧	sai1 jin3	126892		
筑鼻子	tsuʔ5 pʰɨʔ6 tsi3	zuk5 pek6 zi3	zhu4 bi2 zi5	赣	鼻塞	bi2 se4	126401		
箸筒	tsu3 tʰuŋ2	zu3 tung2	zhu4 tong3	赣	筷子筒	kuai4 zi5 tong3	127127		
箸筷	tsu3 kʰuai4	zu3 kuai4	zhu4 kuai4	赣	筷子	kuai4 zi5	124310		
粽箬	tsuŋ4 iɔʔ5	zung4 yok5	zong4 ruo4	赣	粽叶	zong4 ye4	125236		
细人子喡喡叫	ɕi4 ȵin2 tsi3 uiɛ1 uiɛ1 tɕiɛu4	xi4 nin2 zi3 wie1 wie1 jieu4	xi4 ren2 zi5 wei2 wei2 jiao4	赣	小孩哭叫	xiao3 hai2 ku1 jiao4	122297		
罱虾子	liɛn1 xa1 tsi3	lien1 xa1 zi3	lan3 xia1 zi5	赣			127692		
罱鱼	liɛn1 ȵiɛ2	lien1 nie2	lan3 yu2	赣			124088		
老爷	lɑu3 ia2	lau3 ya2	lao3 ye2	赣	老爹	lao3 die1	123685		
腈肉	tɕiaŋ1 ȵiuʔ5	jiang1 niuk5	jing1 rou4	赣	瘦肉	shou4 rou4	126344		
舀水	iau3 sy3	yau3 syu3	yao3 shui3	赣			123877		
舀汤	iau3 tʰoŋ1	yau3 tong1	yao3 tang1	赣			125287		
舀粥	iau3 tsuʔ5	yau3 zuk5	yao3 zhou1	赣			123384		
舐碗筷	siɛ4 uɛn3 kʰuai4	sie4 wen3 kuai4	shi4 wan3 kuai4	赣	舔碗筷	tian3 wan3 kuai4	124589		
舓碗筷	siɛ4 uɛn3 kʰuai4	sie4 wen3 kuai4	shi4 wan3 kuai4	赣	舔碗筷	tian3 wan3 kuai4	125024		
莫䞀	mɔʔ6 hɛu2	mok6 heu2	mo4 hou4	赣	别贪	bie2 tan1	123892		
莫动	mɔʔ6 tʰuŋ4	mok6 tung4	mo4 dong4	赣	别动	bie2 dong4	122412		
莫忺到	mɔʔ6 tɕʰiɛn4 tɑu4	mok6 qien4 dau4	mo4 xian1 dao4	赣	别牵挂	bie2 qian1 gua4	122981		
