本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
云	in2	yin2	yun2	赣			305000		
云	yn2	yun2	yun2	赣			305000		
互	fu4	fu4	hu4	赣			125000		
五	ŋ3	ng3	wu3	赣			370000		
井	tɕiaŋ3	jiang3	jing3	赣			155000		
井	tɕin3	jin3	jing3	赣			155000		
亚	ŋa4	nga4	ya4	赣			120000		
些	ɕiɛ2	xie2	xie1	赣			370000		
亡	moŋ2	mong2	wang2	赣			109629		
亡	uoŋ2	wong2	wang2	赣			109629		
交	kɑu1	gau1	jiao1	赣			120000		
亥	hɛi4	hei4	hai4	赣			145000		
亦	ȵi4	ni4	yi4	赣			120000		
亦	i4	yi4	yi4	赣			120000		
产	tsʰan3	can3	chan3	赣			120000		
亩	mɛu3	meu3	mu3	赣			120000		
亩	miau3	miau3	mu3	赣			120000		
享	ɕioŋ3	xiong3	xiang3	赣			120000		
京	tɕin1	jin1	jing1	赣			145000		
京	tɕiŋ1	jing1	jing1	赣			145000		
亭	tʰən2	ten2	ting2	赣			145000		
亭	tʰiɑŋ2	tiang2	ting2	赣			145000		
亭	tʰiŋ2	ting2	ting2	赣			145000		
亮	lioŋ1	liong1	liang4	赣			120000		
亲	tɕʰin1	qin1	qin1	赣			120000		
人	ȵin2	nin2	ren2	赣			350000		
亿	iʔ4	yik4	yi4	赣			145000		
什	sɨʔ6	sek6	shen2	赣			380000		
什	siʔ6	sik6	shen2	赣			380000		
仁	lən2	len2	ren2	赣			125000		
仁	ȵin2	nin2	ren2	赣			125000		
仅	tɕin3	jin3	jin3	赣			130000		
仆	pʰu2	pu2	pu1	赣			120000		
仇	tsʰəu2	ceu2	chou2	赣			155000		
仇	tsʰiu2	ciu2	chou2	赣			155000		
今	kin1	gin1	jin1	赣			120000		
今	tɕi1	ji1	jin1	赣			120000		
今	tɕin1	jin1	jin1	赣			120000		
介	kai4	gai4	jie4	赣			120000		
仍	ȵiŋ2	ning2	reng2	赣			120000		
从	tɕʰiuŋ2	qiung2	cong2	赣			370000		
仑	lun2	lun2	lun2	赣			110671		
仓	tsʰoŋ1	cong1	cang1	赣			155000		
仔	tsɛi3	zei3	zai3	赣			120000		
仕	si4	si4	shi4	赣			120000		
他	tɕiɛ1	jie1	ta1	赣			551339		
他	tʰa1	ta1	ta1	赣			551339		
仗	tsoŋ4	zong4	zhang4	赣			120000		
付	fu4	fu4	fu4	赣			120000		
仙	ɕiɛn1	xien1	xian1	赣			120000		
代	tʰɛi4	tei4	dai4	赣			260000		
令	lən4	len4	ling4	赣			175000		
令	liŋ3	ling3	ling4	赣			175000		
以	ȵi3	ni3	yi3	赣			386106		
以	i3	yi3	yi3	赣			386106		
仪	ȵi2	ni2	yi2	赣			120000		
仪	i2	yi2	yi2	赣			120000		
们	min2	min2	men5	赣			370000		
仰	ŋoŋ3	ngong3	yang3	赣			195000		
仰	ȵioŋ3	niong3	yang3	赣			195000		
仲	tsuŋ4	zung4	zhong4	赣			120000		
件	tɕʰiɛn4	qien4	jian4	赣			170000		
价	ka4	ga4	jia4	赣			145000		
任	lən2	len2	ren4	赣			120000		
任	lən4	len4	ren4	赣			120000		
任	lin4	lin4	ren4	赣			120000		
份	fən4	fen4	fen4	赣			195000		
份	fin4	fin4	fen4	赣			195000		
仿	foŋ3	fong3	fang3	赣			120000		
伊	ȵi1	ni1	yi1	赣			103663		
伊	i1	yi1	yi1	赣			103663		
伍	ŋ̩3	ng3	wu3	赣			120000		
伍	u3	wu3	wu3	赣			120000		
伏	fuʔ6	fuk6	fu2	赣			120000		
伐	fa2	fa2	fa2	赣			120000		
伐	fæt6	faet6	fa2	赣			120000		
休	ɕiəu1	xieu1	xiu1	赣			125000		
休	ɕiu1	xiu1	xiu1	赣			125000		
众	tsʰuŋ4	cung4	zhong4	赣			120000		
众	tsuŋ4	zung4	zhong4	赣			120000		
优	iəu1	yeu1	you1	赣			120000		
优	iu1	yiu1	you1	赣			120000		
伙	fo3	fo3	huo3	赣			120000		
会	fɛi1	fei1	hui4	赣			386025		
会	kʰuai4	kuai4	hui4	赣			386025		
会	uɛi1	wei1	hui4	赣			386025		
会	uɛi4	wui4	hui4	赣			386025		
伞	san3	san3	san3	赣			120000		
伟	ui3	wui3	wei3	赣			120000		
传	tsʰon1	con1	chuan2	赣			120000		
传	tsʰon2	con2	chuan2	赣			120000		
伢	ŋa2	nga2	ya2	赣			145000		
伤	soŋ1	song1	shang1	赣			120000		
伦	luɛn2	lun2	lun2	赣			120000		
伪	uɛi3	wui3	wei3	赣			134743		
伯	paʔ5	bak5	bo2	赣			120000		
估	ku3	gu3	gu1	赣			30000		
伴	pʰɛn1	pen1	ban4	赣			120000		
伴	pʰiɛn4	pien4	ban4	赣			120000		
伶	liɑŋ2	liang2	ling2	赣			120000		
伸	sən1	sen1	shen1	赣			120000		
伸	sin1	sin1	shen1	赣			120000		
伺	tsʰi4	ci4	ci4	赣			150000		
似	si4	si4	shi4	赣			120000		
佃	tian4	dian4	dian4	赣			101062		
佃	tʰian2	tian2	dian4	赣			101062		
但	tʰan4	tan4	dan4	赣			235000		
位	ui1	wui1	wei4	赣			245000		
低	ti1	di1	di1	赣			305000		
住	tsʰy1	cyu1	zhu4	赣			245000		
住	tɕʰu4	qu4	zhu4	赣			245000		
佑	iu4	yiu4	you4	赣			105446		
体	tʰi3	ti3	ti3	赣			205000		
何	ho2	ho2	he2	赣			170000		
余	ȵi2	ni2	yu2	赣			175000		
余	i2	yi2	yu2	赣			175000		
余	y2	yu2	yu2	赣			175000		
佛	fɨʔ6	fek6	fu2	赣			130000		
佛	fo2	fo2	fu2	赣			130000		
佛	fuʔ6	fuk6	fu2	赣			130000		
作	tsɔʔ5	zok5	zuo4	赣			200000		
你	ȵɛi3	nei3	ni3	赣			415320		
你	ȵi1	ni1	ni3	赣			415320		
佣	iuŋ4	yung4	yong1	赣			120000		
佩	pʰɛi4	pei4	pei4	赣			120000		
佩	pʰi4	pi4	pei4	赣			120000		
佬	lɑu3	lau3	lao3	赣			145000		
佮	kɵʔ5	gok5	ge2	赣			125000		
佳	ka1	ga1	jia1	赣			130000		
使	si3	si3	shi3	赣			120000		
