本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
㫰	lɔŋ6	long5	lang4	赣			10002		
㬤	tɕʰit7	qit6	qi1	赣			10003		
䘵	luʔ7	luk6	lu4	赣			120000		
䙻	tsʰɿ1	ci1	ci1	赣	窥视/偷看/窥隙		161300		
䠡	co2	co2	cuo2	赣			220000	蹬	
䰲	ŋat7	ngat6	ya4	赣			120000		
䱗	tsʰan1	can1	can1	赣			120000		
乩	tɕi1	ji1	ji1	赣			120000		
伕	fu1	fu1	fu1	赣			10000		
伢	ŋa5	nga4	ya2	赣			145000		
佬	lau3	lau3	lao3	赣			145000		
刴	to5	do4	duo4	赣			35000		
厾	tuʔ7	duk6	du1	赣			195000	捅	
咷	tʰau2	tau2	tao2	赣			10000		
哔	pit7	bit6	bi4	赣			10001		
嘟	tu5	du4	du1	赣			10002		
圳	tsɨn5	zen4	zhen4	赣			120000		
圿	kuat7	guat6	jia2	赣			10000		
坨	tʰo2	to2	tuo2	赣			10000		
坼	tsʰaʔ7	cak6	che4	赣			10000		
垜	tʰo6	to5	duo3	赣			10000		
垜	to3	do3	duo3	赣			10000		
堎	lɛn6	len5	leng4	赣			10000		
垴	lau3	lau3	nao3	赣			60000		
妬	tu5	du4	du4	赣			10000		
娼	tsʰɔŋ1	cong1	chang1	赣			10000		
婊	piɛu3	bieu3	biao3	赣			10000		
嫑	piɛu5	bieu4	bao2	赣			10000		
嫦	sɔŋ5	song4	chang2	赣			121000		老1
嬯	tai1	dai1	tai2	赣			10000		
尴	kan1	gan1	gan1	赣			120000		
屙	ŋo1	ngo1	e1	赣			130000		
峨	ŋo5	ngo4	e2	赣			10000		
幛	tsɔŋ5	zong4	zhang4	赣			10000		
怄	ŋiɛu5	ngieu4	ou4	赣			170000		
凭	pʰen6	pen5	ping2	赣			155000		
戥	tɛn3	den3	deng3	赣			120000		
抲	kʰa1	ka1	he1	赣	扼住/扼		125000	掐/挤	
抿	min3	min3	min3	赣			10001		
捼	lui5	lui4	ruo2	赣			9862		
掱	pʰa2	pa2	pa2	赣			10003		
揇	lon3	lon3	nan3	赣			35004		
搉	kʰɔʔ7	kok6	que4	赣			85005		
搽	tsʰa2	ca2	cha2	赣			10006		
攎	lu1	lu1	lu2	赣	合抱	he2 bao4	120000		
攎	lu5	lu4	lu2	赣			120000		
攨	ua3	wa3	wa1	赣			10000		
敥	iɛn6	yen5	yan4	赣			140030	撒/散布	
㪗	tʰɛu3	teu3	tou3	赣			120000		
朶	to3	do3	duo3	赣			10000		
桠	ŋa1	nga1	ya1	赣			10000		
榫	sun3	sun3	sun3	赣			10000		
樝	tsa1	za1	zha1	赣			10000		
氹	tʰɔŋ6	tong5	dang4	赣			10000		
汆	tsʰon1	con1	cuan1	赣			145000		
汊	tsʰa0	ca0	cha4	赣			10000		
沰	tɔʔ7	dok6	tuo1	赣			10000		
瀞	tɕʰiaŋ6	qiang5	jing4	白			10000		
瀞	tɕʰin6	qin5	jing4	文			10000		
灹	tsa5	za4	zha4	赣			10000		
炆	uen5	wun4	wen2	赣			10000		
煠	tsat7	zat6	zha2	赣			35000		
𬉼	ŋiɛu5	ngieu4	ou1	赣	捂热	wu3 re4	122300		
焖	mɨn6	men5	men4	赣			120000		
珓	kau5	gau4	jiao4	赣			55000		
瑴	kʰuʔ7	kuk6	jue2	赣			5000		
甏	pʰaŋ6	pang5	beng4	赣			5000		
疔	tiaŋ1	diang1	ding1	白			5000		
疨	ha1	ha1	xia1	赣			5000		
疳	kon1	gon1	gan1	赣			5000		
疿	fɨi5	fei4	fei4	赣			30000		
痧	sa1	sa1	sha1	赣			5000		
痲	ma5	ma4	ma2	赣			5000		
瘀	y5	yu4	yu1	赣			5000		
皈	kui1	gui1	gui1	赣			60000		
盬	ku3	gu3	gu3	赣			2000		
瞌	kʰɔʔ7	kok6	ke1	赣			100000		
砣	tʰo2	to2	tuo2	赣			5994		
硙	ŋai5	ngai4	wei2	赣			5995		
祐	iu6	yiu5	you4	赣			5996		
簰	pʰai2	pai2	pai2	赣			5997		
簷	iɛn5	yen4	yan2	赣			5998		
緖	ɕy6	xyu5	xu4	赣			5999		
绱	sɔŋ6	song5	shang4	赣			6000		
萦	iaŋ1	yang1	ying2	白			20000		
纵	tsuŋ5	zung4	zong4	赣			120000		
罯	ŋot7	ngot6	an3	赣			195000	捂	
肨	pʰɔŋ3	pong3	pang4	赣			6000		
膱	tsɨt7	zet6	zhi2	赣			6000		
臌	ku3	gu3	gu3	赣			6000		
臜	tsa1	za1	za1	赣			56000		
荳	tʰɛu6	teu5	dou4	赣			6000		
菢	pʰau6	pau5	bao4	赣			6000		
莴	uo1	wo1	wo1	赣			6000		
蓡	sɛn1	sen1	shen1	赣			6000		
蔴	ma5	ma4	ma2	赣			31000		
蔸	tɛu1	deu1	dou1	赣			60000	根部	
藠	tɕʰiɛu6	qieu5	jiao4	赣			6000		
虰	tin1	din1	ding1	赣			6000		
虼	kiɛt7	giet6	ge4	赣			6000		
蛐	tɕʰy1	qyu1	qu1	赣			10000		
螂	lɔŋ5	long4	lang2	赣			5000		
螼	tɕin0	jin0	qin3	赣			5000		
蟢	ɕi3	xi3	xi3	赣			5000		
褙	pi5	bi4	bei4	赣			5000		
褯	tɕʰia6	qia5	jie4	赣			5000		
覴	tɛn1	den1	deng1	赣			5000		
觘	tsʰau3	cau3	chao4	赣			120000		
认	ȵin6	nin5	ren4	白			170000		
认	lɨn6	len5	ren4	文			170000		
踮	tiɛn3	dien3	dian3	赣			120000		
蹾	tɨn1	den1	dun1	赣			120000		
趸	tɨn3	den3	dun3	赣			5000		
躱	to3	do3	duo3	赣			30000		
釉	iu6	yiu5	you4	赣			5000		
铇	pʰau2	pau2	bao4	赣			5000		
铇	pʰau6	pau5	bao4	赣			4991		
镍	ȵiɛt7	niet6	nie4	赣			4992		
闩	son1	son1	shuan1	赣			4993		
闩	suæn1	suan1	shuan1	赣			4994		
靪	tin1	din1	ding1	赣			4995		
顉	ŋon3	ngon3	qin1	赣			4996		
馊	sɛu1	seu1	sou1	赣			4997		
驐	tɨn1	den1	dun1	赣			4998		
鬏	tɕiu1	jiu1	jiu1	赣			4999		
鬬	tɛu5	deu4	dou4	赣			5000		
鲶	ȵiɛn5	nien4	nian2	赣			12000		
鳝	sɛn6	sen5	shan4	赣			9993		
鸶	sɿ1	si1	si1	赣			9994		
鹻	kan3	gan3	jian3	赣			9995		
黢	tɕʰyt7	qyut6	qu1	赣			9996		
黵	tsɛn3	zen3	zhan3	赣			9997		
鼇	ŋau5	ngau4	ao2	赣			9998		
𣠽	pa5	ba4	𣠽5	赣			9999		
唔	m̩2	m̩2	wu2	赣			10000		
莽	mɔŋ3	mong3	mang3	赣			125000	长/曼	
搁	kɔʔ7	gok6	ge1	赣			380000	放	
烊	iɔŋ5	yong4	yang2	赣			124660	融化	
㦜	fɔʔ7	fok6	huo4	赣	害怕	hai4 pa4	275000		
餱	hɛu6	heu5	hou2	赣			100000	引诱	
霸	pa5	ba4	ba4	赣			125000	强占	
嘎	ka2	ga2	ga1	赣			315000		
榷		kok7	que4	赣	敲击	qiao1 ji1	100000	敲	
碍	ŋai6	ngai5	ai4	赣			175000	拖延	
躿	kʰaŋ1	kang1	kang1	赣			100000	瘦	
弆	kie3	gie3	ju3	赣			231056	藏匿	
该	kai1	gai1	gai1	赣	欠	qian4	350000		
拕	tʰo2	to2	tuo1	赣			360000		
丩	tɕiu1	jiu1	jiu1	赣			100000	溜溜	
挭	kaŋ3	gang3	geng3	赣			100000	争吵/吵	
掁	tsʰaŋ3	cang3	cheng2	赣			200000		
搛	tɕʰiɛn3	qien3	jian1	赣			140000	夹/夹菜	
囡	mau1	mau1	nan1	赣			100000	猫/囡孲子	
孲	ŋa1	nga1	ya1	赣			100000	囡孲子/伢	
詑	tʰo2	to2	yi2	赣			100000	事情/事/聊天	
蹍	tsʰun6	cun5	nian3	赣			100000	踢/蹍人/踹	
㧐	ɕyon1	xyuon1	song3	赣			100000	推	
鏾	ɕiɛn5	xien4	san3	赣			60000	鏾鸡/阉	
鬝	kʰat7	kat6	qian1	赣			60000	鬝头/秃顶	
攠	mi1	mi1	mi2	赣	玩弄	wan2 nong4	125000	攠攠摸摸/欺负	
蚻	tsʰat8	cat7	zha2	赣			100000	蚻巴子	
喼	tɕit7	jit6	jie1	赣			100000	喼绿	
黆	sɨn1	sen1	guang1	赣			125000	黄/黆黄	
㬹	tsaŋ1	zang1	zheng1	赣	后跟	hou4 gen1	100000	脚后跟/脚㬹	
箇	ko3	go3	ge4	赣	这	zhe4	392798	箇里/箇只	
啵	po1	bo1	bo1	赣			550000	吗	
咚	tɔŋ3	dong3	dong1	赣			100000	咚明	
姎	iɔŋ1	yong1	yang1	赣			100000	女生/姎子	
摭	sa5	za4	zhi2	赣			50000	摭时	
屄	piet7	biet6	bi1	赣			100000	女阴/逼	
曱	tsʰat8	cat7	yue1	赣			100000	蟑螂	
家	kan3	gan3	jia1	赣			350000		
真	tɕin1	jin1	zhen1	白			230000		
式	ɕiʔ7	xik6	shi4	白			265000		
搣		miet6	mie4	赣	掰	bai1	100000	掰开	
㧸	pʰᴀŋ1	pang1	peng1	赣			125000	赶/赶走/拍门/驱赶	
局	tɕʰyt7	qyut6	ju2	赣			135000		老1
径	tɕiaŋ5	jiang4	jing4	白			145000		
桬	so1	so1	sha1	赣			100000	偷看	
䟃	coet7	coet6	can1	赣			350000	跑/走/逛	
跍	kʰuʔ6	ku2	ku1	赣			100000	蹲	
佮	kot7	got6	ge2	赣			125000		
跕	tiɛt7	diet6	dian3	赣	掷	zhi4	100000		
擉	tsʰɔʔ7	cok6	chuo4	赣	肏	cao4	125000	操	
㨂	ton3	don3	dong3	赣			125000		
丁	tiaŋ1	diang1	ding1	白			140000		
丁	tin1	din1	ding1	文			140000		
乘	tsʰən2	cen2	cheng2	赣			175000		又1
亭	tʰiᴀŋ2	tiang2	ting2	白			145000		
俗	suʔ7	suk6	su2	赣			155000		新1
儒	ɵ5	o4	ru2	赣			120000		本1
儒	lu5	lu4	ru2	赣			120000		又1
其	tɕʰiᴇ2	qie2	qi2	白			380000		
十	sɨt8	set7	shi2	文			190000		
去	tɕʰiᴇ3	qie3	qu4	白			373402		
去	tɕʰy3	qyu3	qu4	文			373402		
只	tsat7	zat6	zhi1	白			386050	个	
吃	tɕʰiaʔ7	qiak6	chi1	官			310000		
名	min5	min4	ming2	文			266260		
名	miᴀŋ5	miang4	ming2	白			266260		
命	miaŋ6	miang5	ming4	白			221520		
命	min6	min5	ming4	文			221520		
城	saŋ5	sang4	cheng2	白			80000		
墨	mɑʔ7	mak6	mo4	文			30000		
如	ɵ5	o4	ru2	赣			406065		本1
如	lu5	lu4	ru2	赣			406065		又1
定	tʰiaŋ6	tiang5	ding4	白			62500		
定	tʰin6	tin5	ding4	文			62500		
平	pʰiaŋ2	piang2	ping2	白			175000		
平	pʰin2	pin2	ping2	文			175000		
径	tɕin5	jin4	jing4	文			145000		
明	min5	min4	ming2	文			350000		
明	miaŋ5	miang4	ming2	白			350000		
星	ɕin1	xin1	xing1	文			30000		
星	ɕiaŋ1	xiang1	xing1	白			30000		
橙	tsʰᴀŋ2	cang2	cheng2	文			30000		
正	tsaŋ1	zang1	zheng4	赣			393560		
正	tsɨn5	zen4	zheng4	文			393560		
正	tsaŋ5	zang4	zheng4	白			393560	成/好	
汝	ɵ3	o3	ru3	赣			122000		本1
烹	pʰᴀŋ1	pang1	peng1	文			30000		
生	saŋ1	sang1	sheng1	白			202898		
生	sɛn1	sen1	sheng1	文			202898		
病	pʰin6	pin5	bing4	文			55000		
百	paʔ7	bak6	bai3	白			135000		
省	saŋ3	sang3	sheng3	白			165000		
省	sɛn5	sen4	sheng3	赣			55000		
石	sɑʔ7	sak6	shi2	文			182500		老1
觉	tɕyot7	jyuot6	jue2	赣			120000		新1
钉	tin1	din1	ding1	白			55000		
青	tɕʰin1	qin1	qing1	文			30000		
青	tɕʰiaŋ1	qiang1	qing1	白			30000		
领	lin3	lin3	ling3	文			31739		
领	liaŋ3	liang3	ling3	白			31739		
人	lɨn5	len4	ren2	文			350000		
省	sen3	sen3	sheng3	文			155000		
什	sɿʔ7	sik6	shen2	赣			380000		
出		cuot6	chu1	赣			395397		
出	tsʰət7	cet6	chu1	赣			395397		老1
只	tsɿʔ7	zik6	zhi3	赣			386050		新1
值	tsʰət7	cet6	zhi2	赣			350000		老1
么		me0	me5	赣			290000		
渠	tɕie3	jie3	qu2	赣	她	ta1	550000		
渠	tɕie3	jie3	qu2	赣	它	ta1	550000		又1
佢	tɕie3	jie3	qu2	赣			555604		
佢	tɕie3	jie3	qu2	赣	她	ta1	555604		
