本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
定向	tʰin6 ɕiɔŋ5	tin5 xiong4	ding4 xiang4	文			50860		
稳定性	uen3 tʰin6 ɕin5	wun3 tin5 xin4	wen3 ding4 xing4	文			5857		
定居	tʰin6 tɕy1	tin5 jyu1	ding4 ju1	文			829		
拟定	ȵi3 tʰin6	ni3 tin5	ni3 ding4	文			826		
约定	iɔʔ7 tʰin6	yok6 tin5	yue1 ding4	文			50820		
平定	pʰin2 tʰin6	pin2 tin5	ping2 ding4	文			10756		
决定性	tɕyot7 tʰin6 ɕin5	jyuot6 tin5 xin4	jue2 ding4 xing4	文			744		
保定	pau3 tʰin6	bau3 tin5	bao3 ding4	文			739		
不定	pet7 tʰin6	bet6 tin5	bu4 ding4	文			733		
定然	tʰin6 lɛn5	tin5 len4	ding4 ran2	文			716		
注定	tɕy5 tʰin6	jyu4 tin5	zhu4 ding4	文			691		
镇定	tsɨn5 tʰin6	zen4 tin5	zhen4 ding4	文			638		
选定	ɕyon3 tʰin6	xyuon3 tin5	xuan3 ding4	文			610		
定价	tʰin6 ka5	tin5 ga4	ding4 jia4	文			30603		
定理	tʰin6 li3	tin5 li3	ding4 li3	文			5596		
断定	ton5 tʰin6	don4 tin5	duan4 ding4	文			35579		
审定	sɨn3 tʰin6	sen3 tin5	shen3 ding4	文			491		
定额	tʰin6 ŋiɛt7	tin5 ngiet6	ding4 e2	文			25455		
限定	han6 tʰin6	han5 tin5	xian4 ding4	文			75429		
定型	tʰin6 ɕin5	tin5 xin4	ding4 xing2	文			416		
设定	sɛt7 tʰin6	set6 tin5	she4 ding4	文			25406		
原定	ȵyon5 tʰin6	nyuon4 tin5	yuan2 ding4	文			402		
定量	tʰin6 liɔŋ5	tin5 liong4	ding4 liang4	文			393		
锁定	so3 tʰin6	so3 tin5	suo3 ding4	文			386		
判定	pʰon3 tʰin6	pon3 tin5	pan4 ding4	文			155383		
划定	fa2 tʰin6	fa2 tin5	hua4 ding4	文			365		
坐定	tsʰo6 tʰin6	co5 tin5	zuo4 ding4	文			349		
评定	pʰin2 tʰin6	pin2 tin5	ping2 ding4	文			100345		
待定	tʰai6 tʰin6	tai5 tin5	dai4 ding4	文			330		
一定量	it7 tʰin6 liɔŋ5	yit6 tin5 liong4	yi2 ding4 liang4	文			328		
既定	tɕi5 tʰin6	ji4 tin5	ji4 ding4	文			325		
定制	tʰin6 tsɿ5	tin5 zi4	ding4 zhi4	文			324		
议定	ȵi6 tʰin6	ni5 tin5	yi4 ding4	文			322		
安定门	ŋon1 tʰin6 mɨn5	ngon1 tin5 men4	an1 ding4 men2	文			318		
