本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
伍	u3	wu3	wu3	赣			120000		
伎	tsɿ5	zi4	ji4	赣			108306		
伐	fat7	fat6	fa2	赣			120000		
休	ɕiu1	xiu1	xiu1	赣			125000		
众	tsuŋ5	zung4	zhong4	赣			120000		
优	iu1	yiu1	you1	赣			120000		
会	kʰuai3	kuai3	hui4	赣			386025		
会	fɨi6	fei5	hui4	赣			386025		
伛	y3	yu3	yu3	赣			75024		
伞	san3	san3	san3	赣			120000		
伟	ui3	wui3	wei3	赣			120000		
传	tsʰon2	con2	chuan2	赣			120000		
传	tsʰon6	con5	chuan2	赣			120000		
伤	sɔŋ1	song1	shang1	赣			120000		
伥	tsen5	zen4	chang1	赣			107788		
伦	lun5	lun4	lun2	赣			120000		
伧	tsʰen2	cen2	cang1	赣			107311		
伪	ui3	wui3	wei3	赣			134743		
伫	tɕʰy6	qyu5	zhu4	赣			195000		老1
伴	pʰon6	pon5	ban4	赣			120000		
伶	lin5	lin4	ling2	赣			120000		
伸	sɨn1	sen1	shen1	赣			120000		
伺	tsʰɿ3	ci3	ci4	赣			150000		
伺	sɿ5	si4	ci4	赣			150000		
似	sɿ6	si5	shi4	赣			120000		
伽	tɕʰia2	qia2	ga1	赣			107482		
伾	pʰi1	pi1	pi1	赣			108381		
佃	tʰien2	tien2	dian4	赣			101062		
但	tʰan6	tan5	dan4	赣			235000		
位	ui6	wui5	wei4	赣			245000		
低	ti1	di1	di1	赣			305000		
住	tsʰu6	cu5	zhu4	赣			245000		新1
佐	tso5	zo4	zuo3	赣			120000		
佑	iu6	yiu5	you4	赣			105446		
体	tʰi3	ti3	ti3	赣			205000		
何	ho2	ho2	he2	赣			170000		
佗	tʰo1	to1	tuo2	赣			105098		
余	y5	yu4	yu2	赣			175000		
佚	it7	yit6	yi4	赣			101362		
佛	fɨt8	fet7	fu2	赣			130000		老1
佛	fɨt7	fet6	fu2	赣			130000		
佝	heu3	heu3	gou1	赣			105267		
佞	ȵin6	nin5	ning4	赣			103367		
佟	tʰuŋ2	tung2	tong2	赣			107600		
你	n̩3	n3	ni3	赣			415320		
佣	iuŋ6	yung5	yong1	赣			120000		
佥	tɕʰien1	qien1	qian1	赣			102568		
佩	pʰi3	pi3	pei4	赣			120000		
佯	iɔŋ5	yong4	yang2	赣			120000		
佳	ka1	ga1	jia1	赣			130000		
佴	ɵ6	o5	er4	赣			101133		
佻	tieu3	dieu3	tiao1	赣			102478		
佼	kau1	gau1	jiao3	赣			108431		
佾	it7	yit6	yi4	赣			109843		
使	sɿ3	si3	shi3	赣			120000		
侃	kʰon3	kon3	kan3	赣			120000		
侄	tsʰɨt8	cet7	zhi2	赣			145000		老1
侄	tsɿʔ7	zik6	zhi2	赣			145000		新1
侈	tsʰɿ3	ci3	chi3	赣			102544		
侉	kʰua3	kua3	kua3	赣			90000		
例	li6	li5	li4	赣			150000		
侍	sɿ6	si5	shi4	赣			120000		
侏	tɕy1	jyu1	zhu1	赣			220000		老1
侔	meu5	meu4	mou2	赣			104422		
侗	tʰuŋ1	tung1	dong4	赣			106689		
供	kuŋ5	gung4	gong1	赣			205000		
供	tɕiuŋ1	jiung1	gong1	赣			205000		
依	i1	yi1	yi1	赣			145000		
侠	hat7	hat6	xia2	赣			106969		
侣	li3	li3	lv3	赣			109586		
侦	tsɨn1	zen1	zhen1	赣			120000		
侧	tsɛt7	zet6	ce4	赣			300000		本1
侧	tsʰɛt7	cet6	ce4	赣			300000		又1
侨	tɕʰiɛu2	qieu2	qiao2	赣			120000		
侩	kui5	gui4	kuai4	赣			72001		
侪	tsʰai2	cai2	chai2	赣			104213		
侬	luŋ5	lung4	nong2	赣			129298		
侮	u3	wu3	wu3	赣			107043		
侯	hɛu2	heu2	hou2	赣			120000		
侵	tɕʰin1	qin1	qin1	赣			145000		
便	pʰiɛn2	pien2	bian4	赣			120000		
便	pʰiɛn6	pien5	bian4	赣			120000		
促	tsʰuʔ7	cuk6	cu4	赣			120000		
俄	ŋo5	ngo4	e2	赣			120000		
俅	tɕʰiu2	qiu2	qiu2	赣			105986		
俊	tɕyn5	jyun4	jun4	赣			120000		
俎	tsu3	zu3	zu3	赣			126830		
俏	tɕʰiɛu3	qieu3	qiao4	赣			120000		
俐	li6	li5	li4	赣			104813		
